disease,fever,headache,cough,fatigue,nausea,vomiting,body_pain,chest_pain,shortness_of_breath,sore_throat,runny_nose,diarrhea,abdominal_pain,joint_pain,dizziness,loss_of_taste,loss_of_smell,high_temperature,skin_rash,itching
Flu,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
Flu,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
Flu,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
Flu,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
Flu,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0
Common Cold,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Common Cold,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Common Cold,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Common Cold,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Common Cold,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Migraine,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Migraine,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Migraine,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Migraine,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Migraine,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COVID-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COVID-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
COVID-19,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
COVID-19,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
COVID-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Food Poisoning,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
